FIPS,Name,have_mentalhealth,have_no_mentalhealth,no_highschool,highschool,year
45,South Carolina,3602,7746,1245,10329,2015
46,South Dakota,1792,5327,428,6778,2015
47,Tennessee,1842,4024,674,5282,2015
48,Texas,3943,10420,2107,12525,2015
49,Utah,4079,7167,560,10798,2015
50,Vermont,1962,4430,330,6140,2015
51,Virginia,2327,6169,631,7983,2015
53,Washington,5236,10650,802,15234,2015
54,West Virginia,1880,3982,711,5225,2015
55,Wisconsin,1975,4160,354,5817,2015
56,Wyoming,1505,3893,251,5215,2015
66,Guam,520,1143,131,1532,2015
72,Puerto Rico,1179,4183,1119,4261,2015
1,Alabama,2906,5568,1063,7553,2014
2,Alaska,1358,2933,232,4114,2014
4,Arizona,4180,10453,1129,13587,2014
5,Arkansas,1559,3566,604,4598,2014
6,California,2987,5771,1084,7495,2014
8,Colorado,4134,9053,767,12541,2014
9,Connecticut,2428,5410,517,7356,2014
10,Delaware,1162,3041,401,3860,2014
11,District of Columbia,1099,2894,257,3769,2014
12,Florida,2773,6771,727,8972,2014
13,Georgia,1974,4267,704,5603,2014
15,Hawaii,2017,5176,347,6841,2014
16,Idaho,1744,3622,381,5071,2014
17,Illinois,1732,3279,329,4695,2014
18,Indiana,3657,7599,1011,10422,2014
19,Iowa,2196,5811,488,7609,2014
20,Kansas,3650,9850,836,12831,2014
21,Kentucky,3417,7605,1211,9924,2014
22,Louisiana,2115,4529,819,5923,2014
23,Maine,2983,5963,470,8586,2014
24,Maryland,3672,8686,688,11791,2014
25,Massachusetts,4915,10416,985,14463,2014
26,Michigan,2749,5587,455,7974,2014
27,Minnesota,4638,11551,669,15664,2014
28,Mississippi,1131,2993,582,3598,2014
29,Missouri,2049,4921,703,6334,2014
30,Montana,2078,5283,481,6988,2014
31,Nebraska,5764,16368,1346,20973,2014
32,Nevada,1230,2458,318,3417,2014
33,New Hampshire,1768,4323,291,5849,2014
34,New Jersey,3795,9000,938,11920,2014
35,New Mexico,2626,6206,1063,7734,2014
36,New York,2200,4473,604,6169,2014
37,North Carolina,2068,5114,899,6330,2014
38,North Dakota,2034,5601,472,7262,2014
39,Ohio,3504,7204,842,10035,2014
40,Oklahoma,2538,5800,832,7581,2014
41,Oregon,1824,3313,285,4903,2014
42,Pennsylvania,3461,7283,774,10132,2014
44,Rhode Island,1947,4396,503,5885,2014
45,South Carolina,3393,7406,1288,9667,2014
46,South Dakota,1772,5532,496,6870,2014
47,Tennessee,1555,3477,650,4450,2014
48,Texas,3993,11016,2108,13166,2014
49,Utah,5187,9665,780,14130,2014
50,Vermont,2044,4357,314,6114,2014
51,Virginia,2467,6845,771,8641,2014
53,Washington,3254,6710,496,9535,2014
54,West Virginia,1948,4149,763,5412,2014
55,Wisconsin,2169,4826,386,6614,2014
56,Wyoming,1671,4633,344,6019,2014
66,Guam,798,1699,232,2266,2014
72,Puerto Rico,1258,4679,1268,4696,2014
1,Alabama,2131,4203,798,5688,2013
2,Alaska,1426,3079,273,4294,2013
4,Arizona,1314,2866,388,3844,2013
5,Arkansas,1616,3523,637,4610,2013
6,California,4090,7320,1456,9871,2013
8,Colorado,4262,9191,774,12796,2013
9,Connecticut,2456,5136,506,7181,2013
10,Delaware,1573,3561,410,4759,2013
11,District of Columbia,1405,3427,318,4586,2013
12,Florida,10129,23098,3380,30634,2013
13,Georgia,2383,5599,922,7156,2013
15,Hawaii,2121,5662,341,7503,2013
16,Idaho,1823,3700,424,5188,2013
17,Illinois,1904,3660,358,5242,2013
18,Indiana,3253,6835,941,9369,2013
19,Iowa,2139,5919,491,7657,2013
20,Kansas,6341,16631,1571,21669,2013
21,Kentucky,3734,7117,1288,9659,2013
22,Louisiana,1557,3590,539,4704,2013
23,Maine,2556,5394,418,7659,2013
24,Maryland,3794,8985,876,12031,2013
25,Massachusetts,5097,9695,1336,13601,2013
26,Michigan,4171,8430,669,12057,2013
27,Minnesota,4067,10091,597,13668,2013
28,Mississippi,2117,5181,1201,6222,2013
29,Missouri,2127,4901,739,6359,2013
30,Montana,2912,6654,700,8971,2013
31,Nebraska,4516,12373,1088,15972,2013
32,Nevada,1662,3341,356,4728,2013
33,New Hampshire,1891,4487,332,6106,2013
34,New Jersey,3991,9005,1035,12196,2013
35,New Mexico,2800,6364,1197,8100,2013
36,New York,2912,5818,891,8025,2013
37,North Carolina,2507,6195,1195,7653,2013
38,North Dakota,2111,5506,523,7258,2013
39,Ohio,3620,8131,918,10975,2013
40,Oklahoma,2502,5612,908,7320,2013
41,Oregon,2149,3712,287,5640,2013
42,Pennsylvania,3683,7510,888,10491,2013
