FIPS,Name,have_mentalhealth,have_no_mentalhealth,have_no_fruit,have_fruit,have_no_vegetables,have_vegetables,year,p_have_mentalhealth,p_have_no_mentalhealth,p_have_fruit,p_have_no_fruit,p_have_vegetables,p_have_no_vegetables
18,Indiana,4716,8853,303,12394,26,12417,2017,0.3475569312403272,0.6524430687596727,0.9761360951405844,0.02386390485941561,0.9979104717511854,0.0020895282488145946
19,Iowa,2267,5340,80,7021,6,6966,2017,0.2980149861969239,0.7019850138030761,0.9887339811294183,0.011266018870581608,0.9991394148020654,0.0008605851979345956
20,Kansas,6494,14941,473,18985,37,19006,2017,0.30296244459995336,0.6970375554000466,0.9756912323979854,0.024308767602014596,0.9980570288294911,0.0019429711705088483
21,Kentucky,2987,5539,211,7715,18,7701,2017,0.35034013605442177,0.6496598639455783,0.9733787534695938,0.02662124653040626,0.9976680917217257,0.002331908278274388
22,Louisiana,1743,2972,119,4106,5,4123,2017,0.3696712619300106,0.6303287380699893,0.9718343195266272,0.02816568047337278,0.9987887596899225,0.0012112403100775194
23,Maine,3304,6252,163,8905,13,8957,2017,0.3457513604018418,0.6542486395981583,0.9820247022496692,0.017975297750330833,0.9985507246376811,0.0014492753623188406
24,Maryland,4055,9315,234,11948,12,11938,2017,0.3032909498878085,0.6967090501121914,0.9807913314726646,0.019208668527335413,0.9989958158995816,0.0010041841004184101
25,Massachusetts,2394,4365,125,6197,18,6143,2017,0.35419440745672437,0.6458055925432756,0.9802277760202468,0.019772223979753242,0.9970783963642266,0.0029216036357734136
26,Michigan,3874,6885,161,10023,11,10029,2017,0.36007063853517984,0.6399293614648202,0.9841908876669285,0.015809112333071484,0.9989043824701195,0.0010956175298804782
27,Minnesota,4988,11882,219,15397,28,15278,2017,0.2956727919383521,0.704327208061648,0.9859759221311475,0.01402407786885246,0.9981706520318829,0.0018293479681170783
28,Mississippi,1660,3284,123,4429,12,4442,2017,0.33576051779935273,0.6642394822006472,0.9729789103690686,0.027021089630931458,0.997305792546026,0.002694207453973956
29,Missouri,2331,5170,147,6926,10,6946,2017,0.31075856552459674,0.6892414344754033,0.9792167397144069,0.0207832602855931,0.9985623921794134,0.001437607820586544
30,Montana,1708,4113,82,5482,11,5489,2017,0.2934203745060986,0.7065796254939014,0.9852624011502517,0.014737598849748382,0.998,0.002
31,Nebraska,4399,10780,302,13959,34,13993,2017,0.2898082877659925,0.7101917122340075,0.9788233644204474,0.021176635579552627,0.997576103229486,0.0024238967705140085
32,Nevada,1211,2510,60,3454,8,3459,2017,0.3254501478097286,0.6745498521902714,0.9829254410927718,0.01707455890722823,0.997692529564465,0.0023074704355350445
33,New Hampshire,1750,3924,112,5146,6,5142,2017,0.30842439196334154,0.6915756080366584,0.9786991251426398,0.02130087485736021,0.9988344988344988,0.0011655011655011655
34,New Jersey,3509,7995,224,10503,31,10436,2017,0.30502433936022255,0.6949756606397774,0.9791181131723687,0.020881886827631212,0.997038310881819,0.00296168911818095
35,New Mexico,2184,4286,124,5817,15,5804,2017,0.3375579598145286,0.6624420401854714,0.9791280929136509,0.0208719070863491,0.9974222374978519,0.0025777625021481355
36,New York,4123,7842,205,10726,34,10661,2017,0.34458838278311743,0.6554116172168826,0.9812459976214436,0.0187540023785564,0.9968209443665265,0.0031790556334735857
37,North Carolina,1533,3315,73,4424,6,4377,2017,0.3162128712871287,0.6837871287128713,0.9837669557482767,0.01623304425172337,0.998631074606434,0.0013689253935660506
38,North Dakota,1999,4889,129,6412,6,6444,2017,0.2902148664343786,0.7097851335656213,0.9802782449166794,0.019721755083320594,0.9990697674418605,0.0009302325581395349
39,Ohio,3919,8152,257,11070,27,11079,2017,0.32466241405020296,0.675337585949797,0.9773108501809835,0.02268914981901651,0.9975688816855753,0.0024311183144246355
40,Oklahoma,2056,4432,179,5748,8,5696,2017,0.31689272503082616,0.6831072749691739,0.9697992238906699,0.030200776109330182,0.9985974754558204,0.001402524544179523
41,Oregon,2049,3226,65,4757,9,4768,2017,0.388436018957346,0.6115639810426541,0.9865201161343841,0.013479883865615928,0.9981159723675948,0.0018840276324052752
42,Pennsylvania,2407,4070,120,5967,15,6005,2017,0.37162266481395706,0.6283773351860429,0.9802858551010349,0.019714144898965006,0.9975083056478405,0.0024916943521594683
44,Rhode Island,1839,3735,110,5004,9,4976,2017,0.32992465016146394,0.670075349838536,0.9784904184591318,0.021509581540868204,0.9981945837512538,0.0018054162487462387
45,South Carolina,3521,7506,209,10073,13,10063,2017,0.319307155164596,0.680692844835404,0.9796732153277572,0.020326784672242755,0.9987098054783644,0.0012901945216355697
46,South Dakota,1830,5080,139,6434,6,6457,2017,0.26483357452966716,0.7351664254703328,0.9788528830062376,0.02114711699376236,0.9990716385579452,0.0009283614420547734
47,Tennessee,1937,3767,116,5065,10,5040,2017,0.33958625525946706,0.6604137447405329,0.9776104999034936,0.022389500096506466,0.998019801980198,0.0019801980198019802
48,Texas,3693,8319,265,10814,37,10784,2017,0.30744255744255744,0.6925574425574426,0.9760808737250655,0.02391912627493456,0.9965807226688845,0.003419277331115424
49,Utah,3771,6344,141,9378,25,9373,2017,0.3728126544735541,0.6271873455264458,0.9851875196974472,0.01481248030255279,0.9973398595445839,0.002660140455416046
50,Vermont,2144,4299,115,5797,13,5794,2017,0.3327642402607481,0.6672357597392519,0.9805480378890392,0.019451962110960758,0.99776132254176,0.002238677458240055
51,Virginia,2847,6619,177,8722,8,8724,2017,0.3007606169448553,0.6992393830551448,0.9801101247331161,0.01988987526688392,0.9990838295923041,0.0009161704076958314
53,Washington,4567,8485,188,12068,26,12013,2017,0.34990806006742264,0.6500919399325774,0.9846605744125326,0.015339425587467363,0.99784035218872,0.0021596478112800065
54,West Virginia,1865,3529,153,4989,13,5056,2017,0.3457545420837968,0.6542454579162031,0.9702450408401401,0.029754959159859977,0.9974353915959755,0.0025646084040244622
55,Wisconsin,1957,3804,90,5223,11,5242,2017,0.3396979691025864,0.6603020308974137,0.9830604178430266,0.01693958215697346,0.9979059584999048,0.0020940415000951836
56,Wyoming,1279,3138,72,4154,4,4162,2017,0.28956305184514375,0.7104369481548563,0.9829626123994321,0.017037387600567912,0.9990398463754201,0.0009601536245799327
66,Guam,497,998,20,1379,1,1372,2017,0.33244147157190634,0.6675585284280936,0.9857040743388135,0.014295925661186561,0.9992716678805535,0.0007283321194464676
72,Puerto Rico,992,3440,177,4073,25,4171,2017,0.22382671480144403,0.776173285198556,0.9583529411764706,0.04164705882352941,0.9940419447092469,0.005958055290753098
