FIPS,Name,have_mentalhealth,have_no_mentalhealth,no_highschool,highschool,year,p_have_mentalhealth,p_have_no_mentalhealth,p_highschool,p_no_highschool
12,Florida,10026,26139,3898,32830,2016,0.27722936540854415,0.7227706345914559,0.8938684382487475,0.10613156175125245
13,Georgia,1511,3764,620,4741,2016,0.2864454976303318,0.7135545023696682,0.8843499347136728,0.11565006528632718
15,Hawaii,2388,5648,298,7772,2016,0.2971627675460428,0.7028372324539572,0.9630731102850062,0.036926889714993805
16,Idaho,1711,3437,355,4877,2016,0.33236208236208237,0.6676379176379177,0.9321483180428135,0.06785168195718655
17,Illinois,1588,3126,351,4412,2016,0.336868901145524,0.6631310988544761,0.9263069494016376,0.07369305059836238
18,Indiana,3468,7395,893,10145,2016,0.3192488262910798,0.6807511737089202,0.9190976626200399,0.08090233737996014
19,Iowa,1916,5233,384,6862,2016,0.26800951181983496,0.7319904881801651,0.9470052442727022,0.05299475572729782
20,Kansas,3342,8613,622,11504,2016,0.2795483061480552,0.7204516938519447,0.9487052614217384,0.051294738578261584
21,Kentucky,3236,6872,934,9309,2016,0.32014246141669966,0.6798575385833003,0.908815776627941,0.09118422337205896
22,Louisiana,1743,3416,579,4661,2016,0.3378561736770692,0.6621438263229308,0.8895038167938931,0.11049618320610687
23,Maine,3315,6558,466,9533,2016,0.33576420540869034,0.6642357945913097,0.9533953395339534,0.0466046604660466
24,Maryland,5588,12647,1028,17376,2016,0.30644365231697285,0.6935563476830271,0.9441425777004999,0.05585742229950011
25,Massachusetts,2853,5347,499,7865,2016,0.34792682926829266,0.6520731707317073,0.940339550454328,0.05966044954567193
26,Michigan,4091,7777,645,11355,2016,0.34470845972362657,0.6552915402763735,0.94625,0.05375
27,Minnesota,4923,11677,748,16026,2016,0.296566265060241,0.703433734939759,0.9554071777751282,0.04459282222487183
28,Mississippi,1456,3516,680,4442,2016,0.2928399034593725,0.7071600965406275,0.8672393596251464,0.13276064037485358
29,Missouri,2162,4845,635,6476,2016,0.30854859426288,0.69145140573712,0.9107017297145268,0.08929827028547321
