FIPS,Name,have_mentalhealth,have_no_mentalhealth,no_workout,workout,year,p_have_mentalhealth,p_have_no_mentalhealth,p_workout,p_no_workout
6,California,4090,7320,2099,8091,2013,0.3584574934268186,0.6415425065731815,0.7940137389597645,0.2059862610402355
8,Colorado,4262,9191,2302,10068,2013,0.3168066602244852,0.6831933397755148,0.8139046079223928,0.1860953920776071
9,Connecticut,2456,5136,1768,5353,2013,0.32349841938883034,0.6765015806111696,0.7517202640078641,0.24827973599213593
10,Delaware,1573,3561,1447,3479,2013,0.30638878067783404,0.693611219322166,0.7062525375558262,0.29374746244417377
11,District of Columbia,1405,3427,855,3574,2013,0.2907698675496689,0.7092301324503312,0.8069541657258975,0.19304583427410252
12,Florida,10129,23098,9343,22184,2013,0.30484244740722904,0.6951575525927709,0.7036508389634282,0.29634916103657183
13,Georgia,2383,5599,2110,5271,2013,0.29854673014282135,0.7014532698571787,0.7141308765749899,0.28586912342501014
15,Hawaii,2121,5662,1513,5855,2013,0.27251702428369523,0.7274829757163047,0.7946525515743756,0.20534744842562433
16,Idaho,1823,3700,1282,3978,2013,0.3300742350172008,0.6699257649827992,0.7562737642585551,0.24372623574144486
17,Illinois,1904,3660,1409,3896,2013,0.3421998562185478,0.6578001437814522,0.7344015080113101,0.2655984919886899
18,Indiana,3253,6835,3087,6497,2013,0.32246233148295006,0.67753766851705,0.6779006677796328,0.3220993322203673
19,Iowa,2139,5919,2257,5421,2013,0.2654504839910648,0.7345495160089353,0.7060432404271946,0.2939567595728054
20,Kansas,6341,16631,6085,16092,2013,0.27603169075396133,0.7239683092460386,0.7256166298417279,0.2743833701582721
21,Kentucky,3734,7117,3279,6877,2013,0.3441157497004884,0.6558842502995116,0.6771366679795195,0.3228633320204805
22,Louisiana,1557,3590,1728,3298,2013,0.3025063143578784,0.6974936856421217,0.6561878233187426,0.34381217668125746
23,Maine,2556,5394,1843,5881,2013,0.32150943396226417,0.6784905660377358,0.7613930605903677,0.23860693940963232
24,Maryland,3794,8985,3367,8894,2013,0.29689334063698253,0.7031066593630174,0.7253894462115651,0.27461055378843485
25,Massachusetts,5097,9695,3532,10000,2013,0.3445781503515414,0.6554218496484586,0.7389890629618682,0.26101093703813183
