FIPS,Name,have_mentalhealth,have_no_mentalhealth,have_no_alcohol,have_alcohol,no_smoker,smoker,year
9,Connecticut,3789,7943,4224,6764,9984,1309,2015
10,Delaware,1154,2844,1946,1904,3319,612,2015
11,District of Columbia,1109,2804,1491,2202,3294,488,2015
12,Florida,2894,6607,4233,4793,8035,1218,2015
13,Georgia,1352,3225,2498,1904,3798,663,2015
15,Hawaii,2037,5085,3295,3501,6035,857,2015
16,Idaho,1860,3840,3178,2365,4910,707,2015
17,Illinois,1888,3346,2206,2890,4460,677,2015
18,Indiana,1939,4011,3146,2613,4929,917,2015
19,Iowa,1687,4442,2768,3169,5154,867,2015
20,Kansas,6212,16644,10956,10594,18712,3343,2015
21,Kentucky,2787,5864,5625,2699,6743,1793,2015
22,Louisiana,1529,3102,2507,1845,3684,799,2015
23,Maine,2908,5996,3766,4937,7523,1303,2015
24,Maryland,3577,8805,5594,6204,10623,1396,2015
25,Massachusetts,3149,5935,3433,5035,7520,1221,2015
26,Michigan,3000,5834,3731,4794,7192,1460,2015
27,Minnesota,4725,11805,6153,9842,14034,2293,2015
28,Mississippi,1642,4287,4054,1688,4857,998,2015
29,Missouri,2201,4989,3948,3053,5782,1349,2015
30,Montana,1639,4321,2685,3103,4964,934,2015
31,Nebraska,4588,12781,7638,9177,14595,2484,2015
32,Nevada,986,1885,1320,1479,2405,446,2015
33,New Hampshire,2007,4893,2606,4039,5893,873,2015
34,New Jersey,3200,8032,4713,5977,9511,1448,2015
35,New Mexico,2062,4589,3564,2791,5491,956,2015
36,New York,4015,8021,5100,6311,10109,1574,2015
37,North Carolina,1970,4638,3478,2809,5411,1088,2015
38,North Dakota,1363,3519,1997,2747,4098,725,2015
39,Ohio,3558,8143,6229,5124,9593,1929,2015
40,Oklahoma,2025,4816,4291,2343,5605,1148,2015
41,Oregon,1936,3304,2051,2936,4403,716,2015
42,Pennsylvania,1897,3749,2470,2926,4623,908,2015
44,Rhode Island,1960,4107,2377,3450,5141,778,2015
45,South Carolina,3602,7746,6187,4834,9435,1791,2015
46,South Dakota,1792,5327,3347,3616,5964,1114,2015
47,Tennessee,1842,4024,3718,1878,4604,1105,2015
48,Texas,3943,10420,7669,5962,12099,1817,2015
49,Utah,4079,7167,7918,2975,10145,885,2015
50,Vermont,1962,4430,2405,3765,5399,890,2015
51,Virginia,2327,6169,4021,4210,7124,1247,2015
53,Washington,5236,10650,6426,8880,13718,1843,2015
54,West Virginia,1880,3982,3843,1862,4497,1336,2015
55,Wisconsin,1975,4160,2198,3695,5014,948,2015
56,Wyoming,1505,3893,2674,2537,4508,773,2015
66,Guam,520,1143,896,688,1247,358,2015
72,Puerto Rico,1179,4183,4013,1225,4869,462,2015
1,Alabama,2906,5568,5415,2793,6878,1490,2014
2,Alaska,1358,2933,1798,2328,3477,749,2014
4,Arizona,4180,10453,6823,6928,12191,1811,2014
5,Arkansas,1559,3566,3253,1592,4008,917,2014
6,California,2987,5771,3144,4099,7233,962,2014
8,Colorado,4134,9053,4932,7182,10667,1586,2014
9,Connecticut,2428,5410,2767,4542,6550,897,2014
10,Delaware,1162,3041,2058,2031,3493,655,2014
11,District of Columbia,1099,2894,1468,2277,3348,484,2014
12,Florida,2773,6771,4129,4853,7936,1271,2014
13,Georgia,1974,4267,3315,2525,5109,843,2014
15,Hawaii,2017,5176,3345,3477,5965,925,2014
16,Idaho,1744,3622,2915,2271,4504,753,2014
17,Illinois,1732,3279,2009,2789,4193,651,2014
18,Indiana,3657,7599,6015,4790,9048,1930,2014
19,Iowa,2196,5811,3517,4148,6586,1165,2014
20,Kansas,3650,9850,6645,6320,11127,2036,2014
21,Kentucky,3417,7605,7373,3028,8489,2278,2014
22,Louisiana,2115,4529,3473,2906,5195,1319,2014
23,Maine,2983,5963,3757,4949,7486,1322,2014
24,Maryland,3672,8686,5713,6121,10701,1425,2014
25,Massachusetts,4915,10416,5831,8459,12774,1912,2014
26,Michigan,2749,5587,3637,4516,6936,1295,2014
27,Minnesota,4638,11551,5908,9634,13531,2311,2014
28,Mississippi,1131,2993,2734,1264,3369,704,2014
29,Missouri,2049,4921,4056,2716,5612,1220,2014
30,Montana,2078,5283,3316,3849,6088,1211,2014
31,Nebraska,5764,16368,9559,11888,18480,3249,2014
32,Nevada,1230,2458,1654,1900,3088,563,2014
33,New Hampshire,1768,4323,2327,3437,5003,852,2014
34,New Jersey,3795,9000,5206,6753,10516,1678,2014
35,New Mexico,2626,6206,4589,3665,7043,1322,2014
36,New York,2200,4473,2791,3470,5573,835,2014
37,North Carolina,2068,5114,3882,2922,5817,1165,2014
38,North Dakota,2034,5601,3154,4200,6336,1163,2014
39,Ohio,3504,7204,5674,4813,8782,1834,2014
40,Oklahoma,2538,5800,5102,2962,6767,1427,2014
41,Oregon,1824,3313,2010,2877,4301,667,2014
42,Pennsylvania,3461,7283,4994,5335,8680,1809,2014
44,Rhode Island,1947,4396,2295,3654,5275,822,2014
45,South Carolina,3393,7406,5921,4540,8806,1829,2014
46,South Dakota,1772,5532,3309,3733,6016,1170,2014
47,Tennessee,1555,3477,3141,1626,3882,969,2014
48,Texas,3993,11016,7631,6511,12688,1848,2014
49,Utah,5187,9665,10388,3946,13246,1213,2014
50,Vermont,2044,4357,2171,3897,5301,867,2014
51,Virginia,2467,6845,4552,4406,7643,1457,2014
53,Washington,3254,6710,3891,5751,8586,1141,2014
54,West Virginia,1948,4149,4130,1863,4719,1367,2014
55,Wisconsin,2169,4826,2469,4174,5714,1013,2014
56,Wyoming,1671,4633,3200,2773,5203,875,2014
66,Guam,798,1699,1298,1029,1801,569,2014
72,Puerto Rico,1258,4679,4395,1412,5369,538,2014
1,Alabama,2131,4203,4179,2081,5281,1102,2013
2,Alaska,1426,3079,1991,2404,3553,923,2013
4,Arizona,1314,2866,1997,2037,3489,622,2013
5,Arkansas,1616,3523,3380,1672,4096,1005,2013
6,California,4090,7320,4255,5700,9399,1223,2013
8,Colorado,4262,9191,5075,7535,10943,1831,2013
9,Connecticut,2456,5136,2883,4463,6421,1058,2013
10,Delaware,1573,3561,2295,2672,4210,842,2013
11,District of Columbia,1405,3427,1771,2810,4071,631,2013
12,Florida,10129,23098,17248,15104,27644,5384,2013
13,Georgia,2383,5599,4323,3272,6545,1180,2013
15,Hawaii,2121,5662,3730,3855,6695,981,2013
16,Idaho,1823,3700,3030,2409,4700,791,2013
17,Illinois,1904,3660,2469,2998,4687,839,2013
18,Indiana,3253,6835,5488,4406,8198,1870,2013
19,Iowa,2139,5919,3752,4144,6757,1226,2013
20,Kansas,6341,16631,11601,10865,19026,3865,2013
21,Kentucky,3734,7117,7146,3183,8202,2382,2013
22,Louisiana,1557,3590,2906,2136,4268,894,2013
23,Maine,2556,5394,3421,4447,6707,1255,2013
24,Maryland,3794,8985,5982,6384,10912,1681,2013
25,Massachusetts,5097,9695,5728,8330,12092,2182,2013
26,Michigan,4171,8430,5465,6881,10366,2153,2013
27,Minnesota,4067,10091,5015,8548,11792,2002,2013
28,Mississippi,2117,5181,4961,2147,5888,1355,2013
29,Missouri,2127,4901,4100,2799,5605,1383,2013
30,Montana,2912,6654,4147,5214,7851,1675,2013
31,Nebraska,4516,12373,7731,8782,14134,2553,2013
32,Nevada,1662,3341,2160,2732,4096,888,2013
33,New Hampshire,1891,4487,2400,3779,5444,847,2013
34,New Jersey,3991,9005,5247,7085,10672,1918,2013
35,New Mexico,2800,6364,4840,4090,7553,1543,2013
36,New York,2912,5818,3768,4681,7465,1194,2013
37,North Carolina,2507,6195,5139,3317,7155,1543,2013
38,North Dakota,2111,5506,3168,4337,6319,1336,2013
39,Ohio,3620,8131,5830,5497,9119,2371,2013
40,Oklahoma,2502,5612,5100,2939,6566,1567,2013
41,Oregon,2149,3712,2246,3410,4984,800,2013
42,Pennsylvania,3683,7510,5321,5601,9106,2003,2013
44,Rhode Island,2058,4370,2421,3704,5337,909,2013
45,South Carolina,3218,7283,5745,4559,8687,1794,2013
46,South Dakota,1717,5101,3057,3584,5562,1207,2013
47,Tennessee,1622,4081,3666,1680,4292,1175,2013
48,Texas,2805,7799,5687,4638,9129,1465,2013
49,Utah,4544,8047,8965,3376,11349,1102,2013
50,Vermont,2004,4299,2387,3782,5362,879,2013
51,Virginia,2403,5908,3925,4013,6698,1393,2013
53,Washington,3742,7276,4527,6344,9569,1427,2013
54,West Virginia,1835,3963,3948,1810,4453,1388,2013
55,Wisconsin,2096,4429,2350,3812,5183,1066,2013
56,Wyoming,1744,4612,3246,2980,5342,973,2013
66,Guam,616,1263,1061,736,1401,434,2013
72,Puerto Rico,1402,4557,4344,1518,5464,502,2013
1,Alabama,3217,5606,5800,2863,7270,1643,2012
2,Alaska,1250,3005,1906,2257,3425,842,2012
4,Arizona,2281,4907,3522,3495,6049,1091,2012
5,Arkansas,1755,3305,3284,1721,4062,1017,2012
6,California,5223,9272,5449,7115,12911,1632,2012
8,Colorado,3921,8180,4659,6865,9920,1737,2012
9,Connecticut,2873,5759,3194,5256,7426,1183,2012
10,Delaware,1581,3561,2354,2740,4291,855,2012
11,District of Columbia,1164,2576,1424,2217,3212,508,2012
12,Florida,2421,4993,3596,3727,6342,1123,2012
13,Georgia,1802,4194,3352,2463,4924,970,2012
15,Hawaii,2174,5326,3562,3845,6438,1057,2012
16,Idaho,1933,3836,3273,2457,5001,793,2012
17,Illinois,1923,3631,2457,3027,4734,796,2012
18,Indiana,3049,5413,4636,3757,6750,1761,2012
19,Iowa,1943,5129,3249,3680,5957,1058,2012
20,Kansas,3168,8465,6182,5398,9866,1843,2012
21,Kentucky,3888,7110,7370,3343,8316,2551,2012
22,Louisiana,2700,6234,5544,3253,7291,1706,2012
23,Maine,3352,6407,4134,5574,8208,1602,2012
24,Maryland,3715,8834,5620,6596,10752,1704,2012
25,Massachusetts,7228,14121,8305,12096,17479,3203,2012
26,Michigan,3536,6842,4782,5433,8526,1835,2012
27,Minnesota,3634,8444,4435,7270,9966,1923,2012
28,Mississippi,2245,5376,5303,2267,6278,1422,2012
29,Missouri,2040,4609,3801,2778,5309,1352,2012
30,Montana,2710,5824,3726,4720,7044,1520,2012
31,Nebraska,5412,13523,8550,10188,15954,3031,2012
32,Nevada,1658,3101,2119,2528,3927,851,2012
33,New Hampshire,2319,5105,2870,4415,6414,1007,2012
34,New Jersey,4574,10828,6212,8482,12724,2285,2012
35,New Mexico,2870,5804,4618,3766,7161,1466,2012
36,New York,2135,3765,2478,3340,5045,880,2012
37,North Carolina,3504,8178,6712,4623,9573,2154,2012
38,North Dakota,1387,3389,2020,2734,4019,798,2012
39,Ohio,4120,8667,6351,6113,10171,2474,2012
40,Oklahoma,2529,5378,4909,2948,6312,1636,2012
41,Oregon,1834,3362,2134,2938,4449,721,2012
42,Pennsylvania,6351,13185,9095,10176,16011,3610,2012
44,Rhode Island,1860,3531,2077,3199,4555,828,2012
45,South Carolina,3946,8552,7114,5234,10363,2172,2012
46,South Dakota,2006,5743,3560,4105,6334,1444,2012
47,Tennessee,1932,4976,4536,2082,5299,1481,2012
48,Texas,2853,6080,4680,4099,7635,1328,2012
49,Utah,4266,7952,8880,3211,11153,1050,2012
50,Vermont,1969,4005,2207,3696,5159,798,2012
51,Virginia,2005,5241,3397,3641,6059,1095,2012
53,Washington,5249,9875,6134,8856,13133,2040,2012
54,West Virginia,1677,3649,3790,1530,4103,1287,2012
55,Wisconsin,1655,3582,1972,3083,4221,912,2012
56,Wyoming,1776,4401,3049,3007,5212,947,2012
66,Guam,560,1429,1192,733,1521,460,2012
72,Puerto Rico,1353,4883,4455,1685,5664,618,2012
1,Alabama,2592,4967,4748,2417,6170,1490,2011
2,Alaska,1079,2343,1382,1844,2770,743,2011
4,Arizona,2106,4305,2882,3141,5412,1023,2011
5,Arkansas,1526,3091,2848,1495,3786,928,2011
6,California,6449,11453,6723,9081,15933,2052,2011
8,Colorado,4103,9255,4919,7572,11553,1963,2011
9,Connecticut,2246,4497,2302,4095,5834,958,2011
10,Delaware,1391,3357,2023,2599,3923,839,2011
11,District of Columbia,1417,3077,1526,2690,3828,690,2011
12,Florida,3909,8113,5388,5712,10240,2080,2011
13,Georgia,2849,6818,5207,4005,8290,1612,2011
15,Hawaii,2081,5453,3588,3655,6540,1038,2011
16,Idaho,1990,3990,3116,2513,5201,855,2011
17,Illinois,1973,3465,2248,2960,4584,889,2011
18,Indiana,2786,5463,4142,3607,6698,1746,2011
19,Iowa,1922,5323,3031,3880,6145,1182,2011
20,Kansas,5755,14666,10667,9224,17069,3547,2011
21,Kentucky,3676,6985,6665,3206,8299,2528,2011
22,Louisiana,3372,7387,6002,4270,8723,2174,2011
23,Maine,4407,8572,5337,7187,10947,2219,2011
24,Maryland,2903,7032,4183,5196,8584,1477,2011
25,Massachusetts,6998,14751,7970,11816,18513,3637,2011
26,Michigan,3633,7282,4694,5890,9002,2000,2011
27,Minnesota,4671,10389,5198,9072,12840,2479,2011
28,Mississippi,2687,6067,5556,2771,7123,1752,2011
29,Missouri,1882,4420,3250,2724,5022,1365,2011
30,Montana,3240,6842,4129,5412,8358,1867,2011
31,Nebraska,7425,17611,10565,13341,21119,4205,2011
32,Nevada,1731,3675,1972,2866,4385,1083,2011
33,New Hampshire,2001,4260,2203,3831,5362,965,2011
34,New Jersey,4553,10180,5492,8193,13001,2278,2011
35,New Mexico,2962,6320,4463,4123,7723,1665,2011
36,New York,2602,4900,2756,4240,6456,1213,2011
37,North Carolina,3299,8019,6084,4520,9481,2020,2011
38,North Dakota,1528,3666,1997,2923,4416,861,2011
39,Ohio,3175,6567,4458,4775,7887,1996,2011
40,Oklahoma,2807,5579,5094,3074,6651,1857,2011
41,Oregon,2038,4085,2342,3333,5232,985,2011
42,Pennsylvania,3895,7339,4842,5665,9193,2235,2011
44,Rhode Island,2226,4212,2345,3761,5438,1054,2011
45,South Carolina,3934,8653,6710,5227,10496,2367,2011
46,South Dakota,2074,6055,3698,4176,6750,1480,2011
47,Tennessee,1445,4342,4016,1346,4753,1140,2011
48,Texas,4484,10044,7263,6531,12689,2175,2011
49,Utah,4418,8052,8558,3336,11351,1272,2011
50,Vermont,2318,4656,2558,4232,6057,996,2011
51,Virginia,1832,4615,2959,3083,5424,1138,2011
53,Washington,4592,9951,6031,8251,12687,1996,2011
54,West Virginia,1693,3503,3739,1429,4007,1256,2011
55,Wisconsin,1628,3611,1699,2979,4344,942,2011
56,Wyoming,2161,4587,2934,3463,5591,1249,2011
66,Guam,462,1395,1054,687,1376,501,2011
72,Puerto Rico,1463,5073,4658,1783,5918,689,2011
1,Alabama,2385,5102,5375,2082,6202,1422,2010
2,Alaska,603,1287,897,985,1550,395,2010
4,Arizona,1805,3884,3053,2573,4923,806,2010
5,Arkansas,1219,2701,2659,1301,3278,723,2010
6,California,6333,11327,7673,9116,15095,1842,2010
8,Colorado,3613,7883,4859,6093,9930,1652,2010
9,Connecticut,2125,4553,2720,3881,5930,793,2010
10,Delaware,1253,2952,2018,2174,3560,666,2010
11,District of Columbia,1181,2732,1493,2376,3408,543,2010
12,Florida,10839,23358,19088,14938,28645,6275,2010
13,Georgia,1631,4026,3413,2158,4834,929,2010
15,Hawaii,1716,4777,3405,3058,5684,850,2010
16,Idaho,2232,4643,4110,2735,5982,1003,2010
17,Illinois,1930,3244,2249,2889,4402,793,2010
18,Indiana,3378,6626,5960,4002,8221,1933,2010
19,Iowa,1551,4456,3038,2944,5173,904,2010
20,Kansas,2317,6135,4618,3772,7241,1286,2010
21,Kentucky,2811,5111,5715,2140,6187,1843,2010
22,Louisiana,2126,4795,4021,2760,5656,1349,2010
23,Maine,2588,5394,3676,4273,6769,1304,2010
24,Maryland,2608,6313,4478,4418,7868,1281,2010
25,Massachusetts,4862,11103,6509,8670,13710,2509,2010
26,Michigan,2885,5871,4438,4269,7367,1473,2010
27,Minnesota,2408,6344,3769,4890,7612,1321,2010
28,Mississippi,2377,5553,5795,2158,6582,1470,2010
29,Missouri,1658,3690,3176,2134,4339,1069,2010
30,Montana,2332,4846,3445,3679,6013,1274,2010
