FIPS,Name,have_mentalhealth,have_no_mentalhealth,have_no_alcohol,have_alcohol,no_smoker,smoker,year
20,Kansas,2257,6252,4683,3802,7201,1405,2008
21,Kentucky,2966,5040,5704,2240,6185,1886,2008
22,Louisiana,1518,4565,3622,2311,5018,1151,2008
23,Maine,2171,4542,3007,3607,5659,1108,2008
24,Maryland,3195,6175,4289,5004,8082,1368,2008
25,Massachusetts,6642,13575,8645,10779,17034,3424,2008
26,Michigan,3120,6198,4600,4512,7722,1682,2008
27,Minnesota,1207,3068,1667,2574,3608,674,2008
28,Mississippi,2425,5361,5573,2220,6368,1552,2008
29,Missouri,1689,3391,2858,2199,3978,1166,2008
30,Montana,2124,4608,3123,3564,5633,1180,2008
31,Nebraska,4254,11782,8167,7737,13648,2551,2008
32,Nevada,1690,3032,2058,2569,3793,963,2008
33,New Hampshire,2211,4591,2707,4014,5788,1081,2008
34,New Jersey,3344,8184,5388,5748,9997,1688,2008
35,New Mexico,1994,4168,3519,2604,5098,1112,2008
36,New York,2541,5213,3455,4235,6627,1241,2008
37,North Carolina,4772,10787,9548,5977,12898,2878,2008
38,North Dakota,1353,3589,2232,2675,4175,838,2008
39,Ohio,4280,8495,6559,6096,10685,2229,2008
40,Oklahoma,2499,5179,4876,2803,6097,1692,2008
41,Oregon,1417,3329,2114,2555,4109,662,2008
42,Pennsylvania,4219,8720,6765,6055,10487,2646,2008
44,Rhode Island,1583,3146,1959,2723,4029,736,2008
45,South Carolina,3045,6867,6214,3679,8345,1789,2008
46,South Dakota,1779,5118,3346,3453,5769,1187,2008
47,Tennessee,1337,3613,3717,1130,3994,1010,2008
48,Texas,3175,7397,5994,4455,8967,1696,2008
49,Utah,1936,3318,3818,1430,4776,535,2008
50,Vermont,2214,4409,2542,4082,5717,1005,2008
51,Virginia,1596,3634,2824,2365,4432,849,2008
53,Washington,7099,15149,9847,12054,19098,3304,2008
54,West Virginia,1264,2828,3006,1084,3197,959,2008
55,Wisconsin,2343,4673,2655,4177,5703,1363,2008
56,Wyoming,2468,5412,3864,3981,6595,1386,2008
66,Guam,221,563,490,278,600,195,2008
72,Puerto Rico,1140,3246,3495,881,4041,432,2008
1,Alabama,2342,4721,4968,2076,5787,1432,2007
2,Alaska,821,1629,1173,1283,1933,591,2007
4,Arizona,1522,3135,2459,2110,3872,839,2007
5,Arkansas,1780,3808,3659,1963,4530,1181,2007
6,California,2065,3599,2419,3058,4947,739,2007
8,Colorado,3804,7957,4485,6874,9889,1961,2007
9,Connecticut,2334,5086,2910,4393,6394,1085,2007
10,Delaware,1306,2666,1840,2088,3213,764,2007
11,District of Columbia,1256,2657,1459,2363,3314,614,2007
12,Florida,10994,27692,21237,16533,31128,8229,2007
13,Georgia,2469,5079,4432,3076,6308,1366,2007
15,Hawaii,1938,4608,3215,3299,5529,1059,2007
16,Idaho,1739,3495,2980,2200,4343,959,2007
17,Illinois,1835,3366,2311,2863,4268,961,2007
18,Indiana,1958,3931,3278,2549,4612,1359,2007
19,Iowa,1388,3947,2517,2768,4452,956,2007
20,Kansas,2221,6152,4681,3631,7042,1432,2007
21,Kentucky,1909,4821,5187,1393,5083,1805,2007
22,Louisiana,1514,4965,3998,2414,5269,1383,2007
23,Maine,2176,4544,3123,3525,5511,1292,2007
24,Maryland,2848,5856,4070,4542,7337,1450,2007
25,Massachusetts,6914,14284,8945,11912,17847,3573,2007
26,Michigan,2616,4762,3422,3867,6112,1359,2007
27,Minnesota,1345,3413,2056,2671,4058,710,2007
28,Mississippi,2447,5195,5338,2328,6185,1606,2007
29,Missouri,1750,3456,2897,2274,4080,1168,2007
30,Montana,1919,3992,2765,3057,4847,1127,2007
31,Nebraska,2856,7922,5528,5155,9036,1873,2007
32,Nevada,1533,2549,1757,2232,3268,841,2007
33,New Hampshire,1940,3973,2385,3455,4927,1039,2007
34,New Jersey,2278,4851,3301,3692,5994,1208,2007
35,New Mexico,2112,4407,3576,2868,5306,1278,2007
36,New York,2087,4305,2730,3592,5352,1137,2007
37,North Carolina,4316,10194,8989,5544,11760,2974,2007
38,North Dakota,1318,3338,2077,2536,3771,969,2007
39,Ohio,3749,7271,5703,5221,8958,2216,2007
40,Oklahoma,2305,5012,4772,2541,5744,1693,2007
41,Oregon,1519,3371,2153,2674,4197,729,2007
42,Pennsylvania,4220,8754,6914,5947,10329,2834,2007
44,Rhode Island,1464,2970,1839,2534,3745,729,2007
45,South Carolina,3100,7042,5790,4283,8394,1945,2007
46,South Dakota,1716,5034,3331,3325,5563,1295,2007
47,Tennessee,1301,3652,3637,1178,3880,1134,2007
48,Texas,5161,11750,9806,6875,14310,2846,2007
49,Utah,1750,3216,3648,1347,4502,555,2007
50,Vermont,2178,4654,2689,4102,5848,1049,2007
51,Virginia,1861,4245,3177,2877,5086,1085,2007
53,Washington,8381,17165,11129,14064,21853,3883,2007
54,West Virginia,1285,3101,3107,1283,3367,1067,2007
55,Wisconsin,2306,5063,2815,4369,5933,1480,2007
56,Wyoming,1968,4098,2912,3124,4906,1233,2007
66,Guam,170,473,417,210,471,183,2007
72,Puerto Rico,1031,2801,2938,880,3542,387,2007
