FIPS,Name,have_mentalhealth,have_no_mentalhealth,have_no_fruit,have_fruit,have_no_vegetables,have_vegetables,year
13,Georgia,2469,5079,414,5102,507,5023,2007
15,Hawaii,1938,4608,291,6139,387,6058,2007
16,Idaho,1739,3495,249,4882,370,4783,2007
17,Illinois,1835,3366,285,5374,432,5229,2007
18,Indiana,1958,3931,585,8124,851,7865,2007
19,Iowa,1388,3947,302,5469,547,5217,2007
20,Kansas,2221,6152,1202,17142,1658,16726,2007
21,Kentucky,1909,4821,669,8531,1123,8072,2007
22,Louisiana,1514,4965,765,7800,1098,7459,2007
23,Maine,2176,4544,374,7441,722,7093,2007
24,Maryland,2848,5856,383,7825,596,7618,2007
25,Massachusetts,6914,14284,981,14263,1520,13760,2007
26,Michigan,2616,4762,421,8387,722,8119,2007
27,Minnesota,1345,3413,209,5345,446,5104,2007
28,Mississippi,2447,5195,945,9637,1769,8859,2007
29,Missouri,1750,3456,354,4387,532,4223,2007
30,Montana,1919,3992,398,6892,551,6753,2007
31,Nebraska,2856,7922,801,14455,1407,13837,2007
32,Nevada,1533,2549,220,3444,249,3416,2007
33,New Hampshire,1940,3973,305,5506,574,5226,2007
34,New Jersey,2278,4851,622,10982,879,10727,2007
35,New Mexico,2112,4407,468,7909,684,7694,2007
36,New York,2087,4305,310,6197,502,6013,2007
37,North Carolina,4316,10194,894,11717,1188,11469,2007
38,North Dakota,1318,3338,226,4335,423,4133,2007
39,Ohio,3749,7271,528,8863,809,8570,2007
40,Oklahoma,2305,5012,624,6927,811,6765,2007
41,Oregon,1519,3371,149,3905,262,3786,2007
42,Pennsylvania,4220,8754,549,8206,864,7918,2007
44,Rhode Island,1464,2970,370,5723,540,5560,2007
45,South Carolina,3100,7042,652,8554,1014,8262,2007
46,South Dakota,1716,5034,329,6237,642,5910,2007
47,Tennessee,1301,3652,465,4655,737,4383,2007
48,Texas,5161,11750,640,10408,873,10185,2007
49,Utah,1750,3216,362,9423,619,9200,2007
50,Vermont,2178,4654,308,6120,502,5937,2007
51,Virginia,1861,4245,260,4587,390,4469,2007
53,Washington,8381,17165,787,18869,1235,18395,2007
54,West Virginia,1285,3101,352,4337,582,4126,2007
55,Wisconsin,2306,5063,210,4047,405,3846,2007
56,Wyoming,1968,4098,305,5507,400,5418,2007
66,Guam,170,473,46,1192,118,1113,2007
72,Puerto Rico,1031,2801,342,3718,464,3624,2007
